timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ
1.800,-4.0031,8.3414,5.2672,0.2254,0.0200,0.0008
1.820,-4.0989,8.4252,5.2672,0.2270,0.0195,0.0091
1.840,-4.0438,8.3510,5.2864,0.2238,0.0192,-0.0013
1.860,-4.1611,8.4204,5.2696,0.2249,0.0203,-0.0008
1.880,-4.0486,8.4084,5.2146,0.2236,0.0213,0.0005
1.900,-4.0677,8.3725,5.2840,0.2230,0.0208,0.0096
1.920,-4.0965,8.3486,5.3008,0.2241,0.0184,0.0016
1.940,-4.0941,8.3582,5.2409,0.2249,0.0211,0.0024
1.960,-4.0869,8.3222,5.2625,0.2233,0.0203,0.0003
1.980,-4.1468,8.4013,5.3510,0.2265,0.0218,0.0040
2.000,-4.0654,8.3629,5.2816,0.2278,0.0205,0.0000
2.020,-4.1013,8.3414,5.3056,0.2249,0.0218,0.0029
2.040,-4.0534,8.3653,5.3175,0.2257,0.0197,-0.0005
2.060,-4.0917,8.4036,5.1380,0.2268,0.0211,0.0045
2.080,-4.0845,8.3486,5.2960,0.2265,0.0211,0.0005
2.100,-4.0582,8.3462,5.2409,0.2254,0.0205,0.0109
2.120,-4.0701,8.3677,5.3582,0.2244,0.0200,0.0016
2.140,-4.0630,8.3462,5.2361,0.2244,0.0187,0.0064
2.160,-4.1372,8.3390,5.3127,0.2249,0.0203,0.0027
2.180,-4.1276,8.3845,5.2864,0.2246,0.0203,0.0027
2.200,-4.1348,8.3821,5.3606,0.2244,0.0205,0.0029
2.220,-4.1659,8.3486,5.2146,0.2260,0.0173,0.0053
2.240,-4.1204,8.3629,5.3678,0.2252,0.0197,-0.0027
2.260,-4.1061,8.4156,5.2648,0.2268,0.0208,0.0075
2.280,-4.0725,8.3606,5.2768,0.2252,0.0200,-0.0003
2.300,-4.0606,8.3965,5.2481,0.2246,0.0197,0.0040
2.320,-4.0869,8.4300,5.2337,0.2262,0.0187,-0.0019
2.340,-4.1061,8.2839,5.3175,0.2238,0.0200,0.0067
2.360,-4.1061,8.3701,5.2601,0.2249,0.0187,0.0043
2.380,-4.0079,8.3701,5.1834,0.2244,0.0205,0.0035
2.400,-4.1013,8.3606,5.2553,0.2286,0.0200,0.0024
2.420,-4.0630,8.3606,5.3295,0.2246,0.0195,0.0061
2.440,-4.0821,8.4180,5.3295,0.2246,0.0192,0.0005
2.460,-4.1132,8.3725,5.2888,0.2244,0.0205,0.0088
2.480,-4.1635,8.3869,5.2409,0.2246,0.0216,0.0003
2.500,-4.1348,8.3845,5.2146,0.2233,0.0179,0.0072
2.520,-4.0725,8.3294,5.3175,0.2246,0.0181,0.0019
2.540,-4.1300,8.3606,5.3056,0.2273,0.0189,0.0064
2.560,-4.1037,8.3366,5.3534,0.2265,0.0187,0.0019
2.580,-4.1300,8.3414,5.2720,0.2260,0.0195,0.0059
2.600,-4.0917,8.3629,5.2385,0.2241,0.0192,0.0021
2.620,-4.0749,8.3989,5.3486,0.2260,0.0197,0.0083
2.640,-4.0582,8.3821,5.2792,0.2252,0.0216,0.0016
2.660,-4.1539,8.3749,5.3008,0.2236,0.0211,0.0059
2.680,-4.0797,8.3869,5.2648,0.2262,0.0197,-0.0032
2.700,-4.1635,8.3366,5.2744,0.2249,0.0173,0.0061
2.720,-4.1420,8.3438,5.3032,0.2246,0.0229,-0.0013
2.740,-4.1156,8.3606,5.2529,0.2273,0.0216,0.0061
2.760,-4.0390,8.3222,5.2457,0.2244,0.0211,-0.0011
2.780,-4.1300,8.4084,5.3798,0.2238,0.0187,0.0069
2.800,-4.0606,8.3582,5.2768,0.2228,0.0189,0.0008
2.820,-4.1204,8.3629,5.2218,0.2268,0.0224,0.0083
2.840,-4.1276,8.3342,5.3056,0.2265,0.0205,0.0003
2.860,-4.0917,8.4108,5.2050,0.2254,0.0179,0.0080
2.880,-4.0725,8.3917,5.2816,0.2236,0.0205,-0.0011
2.900,-4.0414,8.4228,5.2098,0.2246,0.0197,0.0072
2.920,-4.0797,8.3749,5.2792,0.2249,0.0195,0.0040
2.940,-4.0606,8.3725,5.2313,0.2236,0.0200,0.0045
2.960,-4.0869,8.4132,5.2960,0.2233,0.0189,-0.0016
2.980,-4.0893,8.3629,5.2696,0.2262,0.0205,0.0040
3.000,-4.0486,8.3462,5.3606,0.2246,0.0208,0.0011
3.020,-4.0941,8.3677,5.2672,0.2238,0.0205,0.0056
3.040,-4.0893,8.3821,5.2505,0.2257,0.0229,0.0035
3.060,-4.0103,8.4013,5.2696,0.2241,0.0203,0.0048
3.080,-4.0893,8.3773,5.2313,0.2262,0.0200,0.0005
3.100,-4.0749,8.3342,5.2648,0.2244,0.0200,0.0043
3.120,-4.1156,8.3701,5.3032,0.2257,0.0218,0.0019
3.140,-4.0797,8.4060,5.3774,0.2238,0.0224,0.0040
3.160,-4.1037,8.3869,5.2265,0.2262,0.0197,-0.0032
3.180,-4.1180,8.4108,5.3199,0.2246,0.0232,0.0093
3.200,-4.0893,8.3797,5.2768,0.2281,0.0203,0.0005
3.220,-4.0677,8.3965,5.2744,0.2265,0.0216,0.0069
3.240,-4.0941,8.3749,5.3175,0.2241,0.0187,-0.0005
3.260,-4.0917,8.3462,5.1595,0.2244,0.0218,0.0059
3.280,-4.0773,8.4108,5.3343,0.2236,0.0200,-0.0008
3.300,-4.0677,8.3222,5.3941,0.2236,0.0205,0.0072
3.320,-4.0821,8.3103,5.2912,0.2268,0.0195,0.0011
3.340,-4.1276,8.3438,5.2337,0.2228,0.0216,0.0056
3.360,-4.0366,8.3773,5.2912,0.2265,0.0208,-0.0005
3.380,-4.1084,8.3175,5.1954,0.2225,0.0211,0.0048
3.400,-4.0701,8.3917,5.3032,0.2246,0.0208,0.0016
3.420,-4.1108,8.4132,5.2768,0.2246,0.0226,0.0085
3.440,-4.1372,8.3414,5.3367,0.2270,0.0213,-0.0021
3.460,-4.0462,8.3246,5.3630,0.2238,0.0200,0.0075
3.480,-4.1108,8.4108,5.3295,0.2270,0.0192,0.0024
3.500,-4.1539,8.4276,5.4013,0.2270,0.0181,0.0051
3.520,-4.1013,8.3318,5.2313,0.2244,0.0213,0.0019
3.540,-4.1156,8.3486,5.2792,0.2249,0.0197,0.0053
3.560,-4.0749,8.3534,5.3079,0.2252,0.0200,0.0000
3.580,-4.0486,8.2887,5.3008,0.2260,0.0216,0.0091
3.600,-4.1252,8.3821,5.3056,0.2252,0.0184,-0.0008
3.620,-4.0869,8.3701,5.3750,0.2241,0.0187,0.0075
3.640,-4.1444,8.3246,5.2146,0.2265,0.0216,0.0021
3.660,-4.1013,8.3749,5.2601,0.2249,0.0192,0.0032
3.680,-4.1108,8.4036,5.2457,0.2241,0.0197,0.0019
3.700,-4.0701,8.3749,5.2409,0.2244,0.0226,0.0083
3.720,-4.0606,8.3270,5.3008,0.2262,0.0195,-0.0021
3.740,-4.0965,8.3582,5.2457,0.2262,0.0203,0.0064
3.760,-4.1252,8.4204,5.3678,0.2246,0.0187,0.0019
3.780,-4.1300,8.3725,5.2816,0.2236,0.0181,0.0072
3.800,-4.1108,8.4372,5.2601,0.2262,0.0213,-0.0003
3.820,-4.0630,8.3821,5.3774,0.2241,0.0187,0.0075
3.840,-4.0965,8.3677,5.2122,0.2252,0.0195,0.0005
3.860,-4.0797,8.4036,5.2840,0.2236,0.0184,0.0085
3.880,-4.0845,8.3965,5.3319,0.2289,0.0189,0.0005
3.900,-4.1228,8.3390,5.3103,0.2252,0.0205,0.0051
3.920,-4.1779,8.3701,5.2864,0.2265,0.0205,0.0000
3.940,-4.0534,8.4372,5.2984,0.2254,0.0205,0.0056
3.960,-4.1396,8.3773,5.2337,0.2265,0.0218,-0.0021
3.980,-4.0893,8.3294,5.2936,0.2260,0.0211,0.0069
